NodeCount;PathLength;SimCnt;CompileTime;KeyGenerationTime;EncryptionTime;ExecutionTime;DecryptionTime;ReferenceExecutionTime;Mse
36;98;0.3939319994969992;3.977.639.200.002.150;243.249.109.998.942;3.746.131.999.832.860;12.463.886.999.285.000;2.514.767.999.855.390;2,78E+06;
36;99;0.47389799965458224;39.747.410.000.018.100;25.589.568.999.748.700;37.212.389.997.876.000;12.489.565.000.578.200;25.402.549.999.853.300;4,00E+06;
40;0;0.29316399923118297;3.917.574.300.066.910;24.263.100.999.633.000;37.168.789.995.121.100;12.418.407.000.041.000;24.931.179.996.201.500;1,42E+07;
40;1;0.3495399996609194;3.870.498.500.054.960;2.295.255.700.028.060;3.709.512.000.568.790;12.417.284.999.173.700;24.731.840.003.369.100;1,16E+07;
40;2;0.41643499935162254;3.717.385.399.977.500;23.005.420.999.652.400;3.712.793.999.511.630;1.244.624.099.945.210;2.530.074.000.787.860;9,19E+05;
40;3;0.4248989998814068;37.684.259.000.343.400;2.344.813.800.027.620;3.718.478.999.871.870;12.600.580.000.253.100;24.934.399.998.528.500;9,07E+05;
40;4;0.3204670001650811;3.979.045.100.004.440;22.942.626.000.258.300;37.109.279.992.364.400;1.242.532.400.010.530;25.160.559.998.766.900;1,47E+08;
40;5;0.33265700039919466;383.130.539.994.454;2.312.623.300.076.660;3.726.406.999.703.610;12.445.395.000.213.400;24.399.779.995.292.100;7,30E+04;
40;6;0.30963200060796225;3.409.182.300.038.080;22.827.206.999.863.800;36.794.289.999.306.700;12.314.792.999.859.400;24.395.130.003.540.500;6,15E+05;
40;7;0.4415640005390742;3.732.671.199.941.250;23.569.731.999.486.900;37.376.910.004.240.900;12.467.864.000.427.600;24.810.489.994.706.500;5,66E+05;
40;8;0.4241349997755606;3.756.937.599.973.750;2.286.098.700.005.820;36.383.229.999.046.300;12.503.490.000.199.200;24.398.460.000.156.700;6,26E+05;
40;9;0.38196500008780276;3.829.824.500.007.810;23.039.410.999.444.900;3.713.184.000.844.190;12.471.788.000.766.500;2.541.161.000.408.460;2,87E+07;
40;10;0.35390699940762715;38.770.849.999.309.500;2.300.488.499.986.380;36.945.359.997.844.200;12.434.740.000.571.700;2.533.996.000.238.400;3,03E+07;
40;11;0.33801199970184825;3.968.143.299.971.410;2.332.304.399.988.060;37.112.360.005.266.900;12.441.484.999.726.500;2.483.588.999.893.980;9,99E+05;
40;12;0.473029999739083;39.075.107.999.451.500;22.811.198.999.988.800;36.855.750.004.178.800;12.408.031.000.632.000;244.470.200.050.273;1,69E+07;
40;13;0.5014589996790164;38.124.257.999.697.800;22.879.220.000.504.500;3.710.594.000.040.140;12.458.401.999.538.100;2.532.690.999.942.130;8,49E+05;
40;14;0.4959110001436784;37.971.309.000.568;22.794.817.999.965.700;36.598.209.999.283.400;12.367.817.999.802.300;24.398.909.999.945.300;2,39E+07;
40;15;0.3461619999143295;3.825.462.300.028.440;23.116.356.000.173.200;37.690.570.006.816.400;12.444.742.000.297.900;2.514.996.999.707.360;1,45E+07;
40;16;0.32223200014414033;3.748.101.700.057.300;2.391.941.800.033.230;37.784.649.994.137;12.543.006.999.294.400;24.967.809.995.359.800;9,55E+04;
40;17;0.3293710005891626;3.939.712.600.003.980;23.077.863.000.253.200;3.701.442.999.954.450;12.432.920.000.719.600;2.441.516.999.169.830;1,32E+07;
40;18;0.3764490002140519;37.164.483.000.196.900;23.477.400.000.047.000;3.723.279.000.041.650;12.464.733.000.342.600;2.504.337.000.573.280;8,16E+05;
40;19;0.3431750001254841;36.249.457.999.474.500;23.005.216.999.990.800;37.033.890.002.931.000;1.264.972.500.030.120;2.556.136.999.373.840;6,32E+05;
40;20;0.452828000561567;3.825.117.299.948.030;2.327.749.500.000.200;3.948.405.000.301.130;13.640.165.999.277.000;25.998.099.999.924.300;7,97E+05;
40;21;0.35959999968326883;3.682.610.200.030.460;22.835.004.999.251.300;37.160.499.996.389.200;12.405.749.000.208.700;2.511.065.999.897.250;3,07E+06;
40;22;0.41505099943606183;379.925.600.000.206;23.148.289.000.346.200;3.726.939.000.443.960;1.282.754.399.926.480;2.510.796.000.024.120;1,68E+07;
40;23;0.3473469996606582;3.699.542.800.040.940;23.123.963.000.216.400;3.785.381.999.477.970;12.465.610.000.617.700;2.586.162.000.625.330;2,63E+06;
40;24;0.35129299976688344;35.858.240.999.914.400;22.920.651.000.276.800;3.712.805.000.759.540;12.594.881.999.575.500;2.490.579.000.550.490;2,40E+07;
40;25;0.39777499932824867;3.783.417.199.974.790;22.906.455.999.873.200;3.696.830.999.615.480;12.431.399.999.513.800;2.436.890.999.888.410;9,00E+05;
40;26;0.4313320005167043;3.720.217.299.996.870;23.064.760.000.124.800;37.284.559.994.077.400;12.550.759.999.612.600;25.287.600.001.320.200;7,69E+05;
40;27;0.44148800043330994;3.750.343.100.000.460;23.770.863.999.743.500;41.533.690.000.505.800;12.552.567.000.057.000;24.585.170.003.774.600;9,18E+05;
40;28;0.4315979995226371;3.702.599.500.047.650;22.946.138.999.941.400;37.196.330.004.007.900;12.430.243.999.915.500;25.028.330.001.077.800;1,57E+07;
40;29;0.29228000039438484;36.421.374.999.918.000;23.053.195.000.102.200;37.312.340.000.426.000;12.742.145.000.629.500;25.606.789.995.435.900;6,19E+05;
40;30;0.33101000008173287;3.874.317.999.998.310;22.825.973.000.180.900;36.940.139.998.478.100;12.434.658.000.529.400;24.870.859.997.463.400;2,61E+07;
40;31;0.386026000342099;3.917.235.099.925.160;2.310.810.099.970.690;37.018.969.997.006.900;12.456.219.000.341.600;2.431.902.999.887.820;7,63E+04;
40;32;0.4698859993368387;3.967.731.600.005.200;22.948.455.999.539.800;3.721.444.000.802.870;12.472.788.999.730.200;25.139.850.004.052.200;1,40E+07;
40;33;0.35033299991482636;36.433.053.000.109.700;23.046.249.999.424.600;3.715.494.000.061.880;12.739.535.000.036.900;25.023.850.002.980.900;7,61E+05;
40;34;0.34658000004128553;36.663.371.000.031.400;22.940.830.999.687.000;3.685.767.000.206.390;12.515.981.999.968.000;2.456.612.999.594.650;8,10E+05;
40;35;0.33702700056892354;4.120.555.200.006.490;23.026.378.999.929.800;3.710.999.999.384.510;12.470.156.000.745.100;25.023.159.996.635.500;8,45E+04;
40;36;0.38297999981296016;3.731.051.999.966.430;22.847.750.000.437.300;36.966.179.995.943.000;12.436.452.999.281.700;25.024.440.001.288.800;9,39E+05;
40;37;0.4398139999466366;3.708.261.599.967.950;23.202.266.999.760.400;38.081.829.998.191.000;12.453.392.000.679.700;2.445.643.000.100.970;7,90E+05;
40;38;0.3536869999152259;360.978.469.998.372;230.113.519.992.301;36.962.539.998.057.700;13.821.758.000.631.200;25.346.430.002.173.200;2,10E+06;
40;39;0.3854300002785749;38.539.321.999.451.200;22.970.830.999.838.600;36.918.770.001.648.200;12.506.943.000.516.900;2.438.757.000.163.600;1,12E+06;
40;40;0.38270999993983423;3.812.984.099.931.780;22.803.644.000.305.200;3.756.606.000.024.470;12.503.990.000.368.500;24.789.560.002.318.400;5,30E+05;
40;41;0.3683759996420122;37.084.966.999.827.800;22.975.019.000.114.100;36.372.140.002.640.600;12.505.379.000.685.900;24.455.960.001.432.600;9,27E+05;
40;42;0.35254699923825683;3.693.616.400.050.810;23.074.157.000.337.400;37.085.829.999.341.500;12.461.033.999.898.000;24.441.109.999.315.800;1,13E+07;
40;43;0.3901070003848872;3.895.477.300.011.400;22.844.348.000.035.000;36.870.549.993.182.000;12.527.384.000.350.100;2.475.891.999.893.060;2,81E+07;
40;44;0.36758700025529834;3.873.723.000.015.160;2.323.268.999.953.140;3.720.669.999.893.280;12.491.885.999.224.900;2.777.280.000.373.130;6,35E+05;
40;45;0.3362809993632254;3.802.471.099.970.710;2.298.875.799.988.300;37.173.150.003.582.100;12.513.259.999.650.400;2.517.863.999.855.760;1,21E+07;
40;46;0.37844899998162873;3.728.998.499.991.570;22.944.395.000.195.000;37.299.039.995.559.700;12.427.053.999.999.700;25.163.720.001.728.500;5,90E+05;
40;47;0.3316190004625241;4.030.640.899.964.050;2.332.544.199.998.660;3.718.758.999.639.240;1.237.476.499.954.930;24.965.520.005.935.100;4,88E+06;
40;48;0.38612600019405363;3.847.140.300.058.520;23.096.740.000.255.500;37.169.699.999.139.900;1.239.662.700.027.110;2.432.395.000.141.690;1,67E+07;
40;49;0.35879200004274026;3.761.291.299.997.530;22.923.923.000.234.900;36.772.590.001.419.300;12.950.837.000.062.100;2.700.861.999.983.310;7,41E+05;
40;50;0.4150360000494402;37.694.542.999.815.800;2.304.084.400.020.650;3.860.871.999.677.320;12.451.446.000.341.000;243.456.999.942.282;9,25E+05;
40;51;0.33165399963763775;37.320.784.000.257.800;2.289.272.699.999.850;3.695.928.000.524.870;12.438.951.999.683.900;2.484.863.000.063.340;7,31E+05;
40;52;0.38845200015202863;38.183.452.999.874.100;22.960.119.000.345.000;3.676.766.999.888.050;12.381.301.000.459.600;24.378.150.001.211.900;1,73E+06;
40;53;0.34546999995654915;3.730.552.999.968.490;2.303.401.999.961.350;3.730.841.000.106.010;12.466.348.000.089.000;2.524.352.999.898.830;1,34E+07;
40;54;0.47935699967638357;37.399.765.999.907.600;228.758.180.001.023;36.705.749.998.873.200;12.906.820.999.887.700;2.793.494.999.423.270;1,54E+07;
40;55;0.4588410001815646;3.859.552.399.990.200;2.369.513.299.981.910;37.279.729.995.134.400;12.452.012.999.347.000;2.515.146.000.405.360;1,55E+07;
40;56;0.3096350001214887;3.863.118.099.980.050;22.892.326.000.146.500;37.097.630.001.881.000;12.447.568.000.425.200;2.522.083.000.258.130;4,79E+06;
40;57;0.3573139993022778;3.787.271.800.047.160;23.009.587.999.695.200;37.394.729.997.686.200;12.441.126.000.339.800;24.738.620.004.427.500;2,91E+07;
